order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
62,2145,24,Pune,Night,Weekend,South Indian,Lunch,Mid-range,931,Yes,34,3,5,Yes,Happy,Medium,Partner,Yes
63,2222,42,Delhi,Evening,Weekend,Desserts,Lunch,Premium,634,No,67,4,4,No,Stressed,Medium,Family,No
64,2606,21,Hyderabad,Morning,Weekday,Desserts,Snacks,Premium,587,Yes,74,13,4,No,Stressed,Low,Partner,No
65,3682,26,Chandigarh,Evening,Weekend,Biryani,Dinner,Mid-range,595,Yes,54,10,5,No,Happy,High,Friends,Yes
66,1315,36,Delhi,Night,Weekend,Desserts,Lunch,Budget,548,Yes,33,14,1,Yes,Stressed,Low,Alone,Yes
67,4866,43,Delhi,Evening,Weekday,Fast Food,Breakfast,Budget,973,No,57,11,5,No,Celebrating,Low,Partner,Yes
68,4277,21,Delhi,Morning,Weekend,South Indian,Lunch,Mid-range,179,Yes,55,12,2,No,Lazy,Low,Friends,Yes
69,4779,39,Delhi,Afternoon,Weekend,Fast Food,Snacks,Premium,692,Yes,48,7,5,No,Celebrating,Medium,Partner,No
70,2031,37,Pune,Evening,Weekday,Biryani,Lunch,Budget,218,Yes,22,7,3,No,Lazy,Low,Alone,Yes
71,4457,29,Bangalore,Evening,Weekday,South Indian,Snacks,Premium,865,Yes,25,14,5,No,Happy,High,Friends,No
72,4793,43,Chandigarh,Morning,Weekend,South Indian,Breakfast,Budget,168,Yes,73,6,5,Yes,Happy,Medium,Alone,Yes
73,1661,27,Pune,Afternoon,Weekend,Biryani,Breakfast,Mid-range,735,No,84,12,4,No,Happy,Medium,Friends,Yes
74,1138,38,Chandigarh,Afternoon,Weekend,Fast Food,Snacks,Mid-range,430,No,88,5,5,No,Happy,Medium,Friends,No
75,1239,20,Bangalore,Evening,Weekend,Biryani,Dinner,Premium,593,Yes,39,13,5,Yes,Happy,Medium,Partner,Yes
76,1694,21,Chandigarh,Morning,Weekend,Chinese,Lunch,Premium,835,Yes,77,3,4,Yes,Lazy,Low,Alone,Yes
77,2252,24,Hyderabad,Afternoon,Weekday,South Indian,Lunch,Premium,325,Yes,81,5,5,Yes,Celebrating,Medium,Family,No
78,1871,18,Bangalore,Afternoon,Weekend,Fast Food,Lunch,Budget,932,No,54,2,5,Yes,Celebrating,Low,Alone,Yes
79,2161,20,Chandigarh,Afternoon,Weekday,South Indian,Breakfast,Mid-range,815,Yes,57,4,3,Yes,Stressed,Low,Family,Yes
80,2957,26,Bangalore,Night,Weekend,Desserts,Lunch,Premium,991,Yes,28,2,5,No,Happy,Medium,Partner,Yes
81,2370,24,Delhi,Night,Weekday,South Indian,Breakfast,Budget,721,Yes,91,8,2,No,Stressed,High,Family,Yes
82,4552,44,Delhi,Morning,Weekday,Biryani,Snacks,Premium,705,Yes,55,7,5,Yes,Celebrating,Medium,Friends,No
83,2895,30,Hyderabad,Night,Weekday,North Indian,Snacks,Mid-range,574,No,26,4,5,Yes,Happy,High,Friends,No
84,3549,34,Pune,Evening,Weekday,Chinese,Dinner,Budget,469,Yes,37,9,4,Yes,Lazy,High,Friends,No
85,1869,18,Mumbai,Night,Weekday,North Indian,Lunch,Mid-range,823,Yes,95,5,4,Yes,Lazy,Low,Partner,No
86,2510,31,Chandigarh,Night,Weekend,Desserts,Lunch,Premium,127,No,25,8,4,No,Stressed,Low,Alone,Yes
87,4639,41,Bangalore,Evening,Weekday,Chinese,Snacks,Mid-range,719,No,66,12,2,No,Lazy,Low,Alone,Yes
88,2161,35,Bangalore,Afternoon,Weekday,South Indian,Dinner,Mid-range,370,Yes,84,6,3,No,Stressed,Medium,Alone,Yes
89,4330,21,Pune,Evening,Weekend,Chinese,Snacks,Premium,309,No,34,9,5,Yes,Happy,Low,Partner,Yes
90,2351,33,Delhi,Afternoon,Weekend,Fast Food,Snacks,Mid-range,749,Yes,94,2,5,No,Happy,Low,Partner,No
91,3413,34,Pune,Afternoon,Weekday,Chinese,Dinner,Premium,689,Yes,88,9,5,Yes,Celebrating,High,Family,No
92,1306,27,Bangalore,Night,Weekend,Chinese,Snacks,Budget,716,No,52,1,2,Yes,Stressed,Medium,Partner,Yes
93,1231,31,Mumbai,Morning,Weekday,Chinese,Snacks,Mid-range,678,Yes,95,7,5,No,Celebrating,Low,Friends,Yes
94,4750,33,Chandigarh,Morning,Weekend,South Indian,Dinner,Budget,940,Yes,34,6,5,Yes,Happy,Low,Friends,Yes
95,4421,39,Chandigarh,Night,Weekday,Biryani,Breakfast,Budget,881,Yes,24,5,4,No,Lazy,High,Friends,No
96,1779,37,Mumbai,Night,Weekday,Biryani,Breakfast,Premium,192,Yes,34,14,3,Yes,Stressed,High,Alone,No
97,3991,19,Chandigarh,Afternoon,Weekday,Chinese,Dinner,Mid-range,699,No,88,5,5,No,Happy,High,Family,No
98,3004,42,Hyderabad,Evening,Weekend,Desserts,Snacks,Premium,406,No,24,5,5,No,Lazy,High,Friends,Yes
99,3366,27,Delhi,Morning,Weekend,North Indian,Breakfast,Budget,760,No,52,13,2,Yes,Stressed,Low,Partner,Yes
100,3050,27,Pune,Night,Weekend,Chinese,Lunch,Budget,770,No,61,12,5,No,Celebrating,High,Family,No
101,3678,38,Bangalore,Morning,Weekday,South Indian,Dinner,Mid-range,109,No,62,12,5,No,Happy,High,Family,Yes
102,3108,36,Chandigarh,Morning,Weekday,Biryani,Breakfast,Mid-range,475,No,23,5,5,Yes,Celebrating,High,Friends,Yes
103,1847,40,Delhi,Afternoon,Weekday,Desserts,Snacks,Premium,329,No,89,2,5,Yes,Lazy,Medium,Alone,No
104,4346,35,Bangalore,Afternoon,Weekend,North Indian,Snacks,Budget,525,No,79,13,2,Yes,Stressed,Low,Family,Yes
105,3987,23,Pune,Afternoon,Weekday,South Indian,Snacks,Premium,969,Yes,87,14,4,No,Lazy,High,Partner,No
106,1662,36,Pune,Night,Weekday,South Indian,Lunch,Budget,433,No,34,5,5,No,Happy,High,Family,No
107,3976,36,Bangalore,Night,Weekday,Fast Food,Lunch,Premium,391,Yes,64,3,4,Yes,Stressed,Medium,Family,Yes
108,4533,20,Pune,Evening,Weekend,Desserts,Snacks,Mid-range,192,Yes,53,9,5,Yes,Happy,Low,Family,Yes
109,1365,38,Hyderabad,Morning,Weekend,South Indian,Snacks,Budget,583,Yes,90,13,2,No,Stressed,High,Family,Yes
110,2808,39,Delhi,Evening,Weekend,South Indian,Dinner,Premium,676,No,39,7,5,No,Happy,Medium,Partner,Yes
111,1201,28,Pune,Morning,Weekend,Desserts,Dinner,Premium,289,Yes,76,4,5,Yes,Celebrating,Medium,Family,Yes
112,4108,21,Chandigarh,Afternoon,Weekday,North Indian,Dinner,Mid-range,655,No,37,11,2,No,Stressed,Low,Partner,Yes
113,3375,32,Bangalore,Evening,Weekend,Biryani,Dinner,Mid-range,656,Yes,90,9,3,No,Lazy,Medium,Alone,Yes
114,2000,40,Hyderabad,Night,Weekend,Biryani,Breakfast,Mid-range,385,Yes,55,7,5,Yes,Happy,High,Partner,Yes
115,3003,38,Pune,Afternoon,Weekday,Fast Food,Snacks,Budget,822,No,64,6,5,No,Happy,Medium,Family,Yes
116,2257,43,Pune,Morning,Weekday,Chinese,Dinner,Premium,581,No,49,8,4,Yes,Lazy,Medium,Family,No
117,1104,29,Bangalore,Night,Weekend,Chinese,Breakfast,Premium,862,Yes,74,1,5,Yes,Celebrating,Low,Family,No
118,3691,23,Bangalore,Morning,Weekend,Chinese,Snacks,Premium,662,No,30,14,5,Yes,Happy,Medium,Partner,No
119,3723,37,Pune,Afternoon,Weekend,Chinese,Snacks,Mid-range,789,Yes,63,10,5,No,Happy,High,Alone,Yes
120,4670,44,Chandigarh,Evening,Weekday,Chinese,Breakfast,Mid-range,992,No,96,11,4,No,Celebrating,Low,Friends,Yes
121,2148,21,Pune,Morning,Weekday,Chinese,Breakfast,Premium,352,Yes,94,1,5,No,Lazy,Medium,Alone,No
122,2810,37,Delhi,Night,Weekend,Desserts,Lunch,Premium,156,No,37,8,4,No,Lazy,High,Alone,No
123,2727,29,Delhi,Afternoon,Weekday,Desserts,Breakfast,Budget,974,Yes,87,2,5,No,Happy,Medium,Friends,No
124,2496,44,Hyderabad,Night,Weekday,Biryani,Dinner,Premium,401,Yes,86,9,4,No,Lazy,Medium,Family,No
125,2328,31,Pune,Evening,Weekday,Chinese,Breakfast,Premium,949,No,32,14,5,Yes,Celebrating,Low,Partner,Yes
126,2339,33,Mumbai,Night,Weekday,North Indian,Dinner,Premium,310,No,86,13,3,No,Stressed,High,Friends,Yes
127,3588,30,Mumbai,Morning,Weekday,North Indian,Lunch,Budget,292,No,93,8,5,Yes,Happy,Medium,Friends,No
128,2488,28,Pune,Night,Weekday,North Indian,Breakfast,Mid-range,148,Yes,71,2,4,Yes,Stressed,Medium,Family,No
129,3396,34,Pune,Afternoon,Weekend,Fast Food,Dinner,Budget,117,Yes,71,10,5,No,Celebrating,Medium,Partner,Yes
130,2789,21,Mumbai,Night,Weekend,South Indian,Breakfast,Budget,160,No,69,5,5,Yes,Celebrating,High,Alone,Yes
131,3534,26,Hyderabad,Afternoon,Weekend,North Indian,Snacks,Premium,510,No,60,12,3,No,Stressed,Medium,Friends,Yes
132,3735,20,Delhi,Night,Weekend,Desserts,Dinner,Premium,562,Yes,30,5,5,Yes,Lazy,High,Alone,No
133,3546,30,Pune,Afternoon,Weekday,Desserts,Snacks,Budget,978,Yes,97,12,5,Yes,Celebrating,Low,Alone,No
134,2740,36,Bangalore,Afternoon,Weekday,Biryani,Snacks,Mid-range,952,No,65,13,4,Yes,Happy,Low,Friends,Yes
135,1979,44,Pune,Morning,Weekend,North Indian,Breakfast,Budget,430,Yes,35,14,2,Yes,Stressed,High,Family,Yes
136,3135,38,Hyderabad,Night,Weekday,North Indian,Breakfast,Budget,262,Yes,52,1,5,No,Celebrating,High,Partner,No
137,2180,41,Pune,Morning,Weekday,Chinese,Dinner,Mid-range,797,No,54,14,5,No,Happy,Medium,Partner,Yes
138,3546,26,Chandigarh,Evening,Weekend,South Indian,Dinner,Premium,388,No,87,14,5,Yes,Happy,Medium,Alone,No
139,1935,33,Delhi,Morning,Weekend,Biryani,Breakfast,Mid-range,701,No,39,1,5,No,Celebrating,Low,Partner,Yes
140,2574,18,Chandigarh,Night,Weekend,Desserts,Snacks,Mid-range,794,No,28,1,4,No,Stressed,High,Friends,No
141,3672,30,Chandigarh,Afternoon,Weekday,Desserts,Snacks,Budget,892,No,61,6,5,Yes,Celebrating,Low,Alone,Yes
142,2537,38,Hyderabad,Night,Weekend,North Indian,Dinner,Premium,960,Yes,34,3,4,Yes,Stressed,Medium,Alone,Yes
143,1370,24,Bangalore,Morning,Weekend,Desserts,Dinner,Mid-range,223,Yes,58,11,2,No,Stressed,High,Partner,No
144,1145,31,Chandigarh,Afternoon,Weekday,Biryani,Snacks,Premium,347,Yes,33,8,4,No,Stressed,Medium,Friends,No
145,4373,25,Mumbai,Evening,Weekday,North Indian,Lunch,Budget,100,No,37,12,4,Yes,Celebrating,Medium,Partner,Yes
146,2176,20,Pune,Evening,Weekend,Chinese,Lunch,Mid-range,742,No,24,2,5,No,Happy,Low,Family,No
147,4190,34,Chandigarh,Morning,Weekend,Chinese,Lunch,Premium,719,Yes,45,14,4,No,Lazy,Medium,Family,Yes
148,2764,19,Mumbai,Morning,Weekend,Chinese,Breakfast,Mid-range,704,Yes,86,12,2,Yes,Stressed,High,Family,No
149,1680,35,Delhi,Afternoon,Weekday,Biryani,Lunch,Budget,163,Yes,42,7,3,Yes,Lazy,High,Friends,Yes
150,1319,34,Pune,Afternoon,Weekend,South Indian,Snacks,Premium,217,No,69,13,5,No,Celebrating,High,Partner,Yes
151,1091,23,Mumbai,Afternoon,Weekday,Fast Food,Snacks,Budget,602,No,73,2,5,No,Happy,Low,Partner,No
152,3744,35,Pune,Night,Weekend,Chinese,Dinner,Budget,695,Yes,98,12,2,Yes,Stressed,Low,Friends,Yes
153,4756,20,Mumbai,Afternoon,Weekend,Desserts,Lunch,Mid-range,430,Yes,83,8,3,No,Stressed,Medium,Partner,No
154,4466,44,Delhi,Afternoon,Weekday,Chinese,Dinner,Premium,745,Yes,70,14,5,Yes,Celebrating,High,Alone,Yes
155,2167,29,Mumbai,Morning,Weekend,North Indian,Breakfast,Premium,390,No,94,4,5,Yes,Lazy,High,Family,No
156,3847,35,Bangalore,Evening,Weekday,North Indian,Snacks,Budget,787,Yes,89,10,5,No,Celebrating,Medium,Partner,Yes
157,1164,41,Pune,Evening,Weekend,Fast Food,Breakfast,Premium,771,Yes,97,4,5,No,Stressed,Medium,Partner,No
158,4712,26,Chandigarh,Evening,Weekend,North Indian,Snacks,Premium,516,No,60,6,4,Yes,Stressed,Medium,Family,No
159,3485,42,Mumbai,Morning,Weekend,Fast Food,Breakfast,Premium,735,No,88,7,4,No,Stressed,Low,Alone,Yes
160,4204,36,Delhi,Night,Weekend,Chinese,Lunch,Mid-range,734,Yes,33,9,3,No,Stressed,Medium,Friends,No
161,2370,35,Pune,Morning,Weekend,South Indian,Dinner,Mid-range,232,Yes,30,4,5,No,Happy,High,Alone,Yes
162,2588,38,Hyderabad,Morning,Weekend,Chinese,Lunch,Mid-range,240,Yes,82,12,3,Yes,Lazy,Medium,Alone,Yes
163,4419,39,Hyderabad,Evening,Weekend,Biryani,Lunch,Premium,296,Yes,90,4,5,No,Happy,Low,Partner,Yes
164,2260,36,Mumbai,Morning,Weekend,Fast Food,Lunch,Budget,577,Yes,77,14,1,No,Stressed,High,Family,Yes
165,2806,40,Bangalore,Evening,Weekend,Fast Food,Snacks,Premium,980,No,55,3,5,No,Happy,Low,Partner,Yes
166,1876,18,Pune,Evening,Weekend,North Indian,Dinner,Mid-range,779,No,22,9,5,Yes,Happy,Low,Family,Yes
167,2198,39,Delhi,Evening,Weekday,Fast Food,Breakfast,Premium,473,No,67,7,4,No,Lazy,Medium,Friends,Yes
168,1726,36,Bangalore,Afternoon,Weekend,Biryani,Lunch,Premium,232,No,25,14,5,No,Celebrating,Low,Alone,No
169,4643,39,Delhi,Evening,Weekend,Desserts,Dinner,Budget,674,No,39,2,5,No,Celebrating,High,Alone,No
170,3821,21,Hyderabad,Night,Weekday,Biryani,Lunch,Budget,613,No,40,8,2,No,Stressed,Medium,Alone,Yes
171,3658,23,Bangalore,Afternoon,Weekday,North Indian,Snacks,Mid-range,397,No,35,8,5,No,Celebrating,High,Alone,Yes
172,1996,32,Bangalore,Morning,Weekend,Biryani,Snacks,Mid-range,736,No,84,4,3,Yes,Stressed,High,Alone,No
173,3457,40,Mumbai,Morning,Weekday,North Indian,Snacks,Budget,946,Yes,68,14,1,No,Stressed,Medium,Partner,Yes
174,3825,30,Delhi,Afternoon,Weekday,Fast Food,Breakfast,Budget,915,No,53,13,2,Yes,Lazy,Low,Family,No
175,3195,23,Bangalore,Morning,Weekday,South Indian,Lunch,Premium,321,No,53,1,4,Yes,Stressed,High,Friends,Yes
176,1803,41,Mumbai,Afternoon,Weekend,Biryani,Snacks,Budget,528,No,98,3,3,No,Stressed,High,Partner,No
177,1371,34,Chandigarh,Evening,Weekend,Biryani,Snacks,Mid-range,441,Yes,36,10,3,No,Lazy,High,Partner,Yes
178,4221,18,Hyderabad,Afternoon,Weekday,Desserts,Breakfast,Premium,958,Yes,36,13,3,Yes,Stressed,High,Partner,No
179,3536,41,Hyderabad,Evening,Weekday,Biryani,Snacks,Budget,330,Yes,25,1,3,Yes,Stressed,High,Family,Yes
180,4849,39,Chandigarh,Morning,Weekend,Desserts,Breakfast,Premium,711,Yes,78,9,5,Yes,Lazy,Low,Partner,No
181,2913,28,Hyderabad,Evening,Weekend,Chinese,Breakfast,Mid-range,682,Yes,57,9,5,No,Happy,Medium,Partner,Yes
182,1666,35,Chandigarh,Morning,Weekend,Chinese,Lunch,Mid-range,235,Yes,80,12,4,Yes,Celebrating,High,Friends,Yes
183,3873,24,Pune,Morning,Weekend,Chinese,Snacks,Premium,742,No,68,7,5,Yes,Lazy,Medium,Family,Yes
184,4563,23,Hyderabad,Evening,Weekday,Chinese,Breakfast,Budget,824,Yes,27,10,2,No,Stressed,Medium,Partner,No
185,3066,34,Mumbai,Evening,Weekend,Chinese,Breakfast,Premium,758,Yes,90,9,5,Yes,Lazy,Low,Friends,No
186,3892,29,Chandigarh,Night,Weekend,North Indian,Breakfast,Premium,656,Yes,67,1,5,No,Happy,High,Friends,No
187,4561,27,Chandigarh,Night,Weekend,Biryani,Snacks,Mid-range,779,No,85,8,3,No,Stressed,Low,Partner,Yes
188,2327,31,Mumbai,Afternoon,Weekend,Chinese,Dinner,Premium,974,Yes,69,5,5,Yes,Lazy,Low,Partner,No
189,4473,18,Hyderabad,Afternoon,Weekday,Desserts,Dinner,Budget,899,Yes,83,7,3,No,Lazy,Low,Family,No
190,3261,26,Mumbai,Evening,Weekend,Fast Food,Breakfast,Premium,271,Yes,37,14,5,No,Celebrating,Low,Alone,Yes
191,2760,41,Mumbai,Morning,Weekday,North Indian,Snacks,Premium,688,Yes,71,14,5,Yes,Celebrating,Medium,Family,Yes
192,1598,32,Mumbai,Evening,Weekend,Fast Food,Dinner,Mid-range,676,No,56,2,5,Yes,Happy,Low,Partner,Yes
193,1514,32,Chandigarh,Afternoon,Weekend,Biryani,Lunch,Budget,484,Yes,59,10,5,Yes,Happy,Medium,Partner,Yes
194,4290,32,Pune,Afternoon,Weekday,North Indian,Dinner,Budget,695,No,78,4,5,No,Celebrating,Low,Partner,No
195,4537,21,Chandigarh,Afternoon,Weekend,North Indian,Breakfast,Mid-range,620,No,26,3,5,Yes,Celebrating,High,Alone,No
196,3256,38,Mumbai,Night,Weekday,North Indian,Snacks,Budget,473,Yes,77,8,4,Yes,Celebrating,Low,Alone,Yes
197,2738,22,Mumbai,Afternoon,Weekend,Chinese,Breakfast,Premium,229,Yes,84,12,5,Yes,Happy,Low,Family,No
198,4900,25,Pune,Night,Weekday,South Indian,Snacks,Mid-range,830,Yes,27,1,3,Yes,Stressed,Medium,Family,Yes
199,1803,42,Bangalore,Night,Weekend,Chinese,Breakfast,Mid-range,609,No,29,1,5,No,Happy,Medium,Friends,No
200,2516,43,Pune,Night,Weekend,North Indian,Dinner,Mid-range,917,No,71,12,5,Yes,Happy,High,Partner,No
201,2299,32,Chandigarh,Afternoon,Weekend,Chinese,Lunch,Mid-range,233,No,55,3,3,No,Stressed,Medium,Alone,Yes
202,2484,38,Bangalore,Afternoon,Weekday,Chinese,Breakfast,Mid-range,905,Yes,86,4,5,Yes,Celebrating,Low,Partner,No
203,3565,18,Hyderabad,Morning,Weekend,Biryani,Breakfast,Budget,147,No,34,9,3,No,Lazy,High,Alone,Yes
204,4412,21,Chandigarh,Evening,Weekday,Fast Food,Dinner,Mid-range,822,Yes,97,4,5,Yes,Celebrating,Medium,Friends,Yes
205,4226,27,Mumbai,Afternoon,Weekend,Biryani,Breakfast,Premium,559,No,94,14,4,Yes,Lazy,High,Family,No
206,3667,33,Delhi,Evening,Weekday,Desserts,Dinner,Premium,691,No,85,1,4,No,Lazy,High,Family,Yes
207,4529,42,Mumbai,Afternoon,Weekday,Desserts,Lunch,Premium,585,No,81,2,5,Yes,Celebrating,Low,Alone,Yes
208,4794,25,Bangalore,Afternoon,Weekend,Biryani,Snacks,Mid-range,810,Yes,61,10,5,No,Happy,Low,Alone,No
209,3863,19,Chandigarh,Morning,Weekday,Fast Food,Snacks,Premium,232,Yes,39,12,5,Yes,Happy,Medium,Friends,No
